text,sura,lemmatized
يٰبني اسرٰءيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم على العٰلمين,سورة البقرة,"['بنى', 'اسرءيل', 'اذكر', 'نعمة', 'الذي', 'انعم', 'على', 'واني', 'فضلة', 'على', 'علم']"
واتقوا يوما لا تجزي نفس عن نفس شيا ولا يقبل منها شفٰعة ولا يؤخذ منها عدل ولا هم ينصرون,سورة البقرة,"['اتقى', 'يوم', 'لا', 'جزى', 'نفس', 'عن', 'نفس', 'شي', 'لا', 'قبل', 'من', 'شفعة', 'لا', 'يؤخذ', 'من', 'عدل', 'لا', 'هم', 'نصر']"
رب موسىٰ وهٰرون,سورة الاعراف,"['رب', 'موسى', 'وهر']"
واذ نجينٰكم من ءال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم وفي ذٰلكم بلاء من ربكم عظيم,سورة البقرة,"['اذ', 'نجينكم', 'من', 'ءال', 'فرعون', 'يسومونكم', 'سوء', 'عذاب', 'ذبح', 'ابناء', 'استحيى', 'نساء', 'في', 'ذلك', 'بلاء', 'من', 'رب', 'عظيم']"
واذ فرقنا بكم البحر فانجينٰكم واغرقنا ءال فرعون وانتم تنظرون,سورة البقرة,"['اذ', 'فرق', 'ب', 'بحر', 'فانجينكم', 'اغرق', 'ءال', 'فرعون', 'انتم', 'نظر']"
واذ وٰعدنا موسىٰ اربعين ليلة ثم اتخذتم العجل من بعده وانتم ظٰلمون,سورة البقرة,"['اذ', 'وعد', 'موسى', 'اربع', 'ليلة', 'ثم', 'اتخذ', 'عجل', 'من', 'بعد', 'انتم', 'ظلم']"
ثم عفونا عنكم من بعد ذٰلك لعلكم تشكرون,سورة البقرة,"['ثم', 'عفا', 'عن', 'من', 'بعد', 'ذلك', 'لعل', 'شكر']"
واذ ءاتينا موسى الكتٰب والفرقان لعلكم تهتدون,سورة البقرة,"['اذ', 'ءاتي', 'موسى', 'كتاب', 'فرقان', 'لعل', 'اهتدى']"
واذ قال موسىٰ لقومه يٰقوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الىٰ بارئكم فاقتلوا انفسكم ذٰلكم خير لكم عند بارئكم فتاب عليكم انه هو التواب الرحيم,سورة البقرة,"['اذ', 'قال', 'موسى', 'قوم', 'قام', 'ان', 'ظلمتم', 'انفس', 'اتخاذ', 'عجل', 'توب', 'الى', 'بارئ', 'فاقتلوا', 'انفس', 'ذلك', 'خير', 'ل', 'عند', 'بارئ', 'تاب', 'على', 'ان', 'هو', 'تواب', 'رحيم']"
واذ قلتم يٰموسىٰ لن نؤمن لك حتىٰ نرى الله جهرة فاخذتكم الصٰعقة وانتم تنظرون,سورة البقرة,"['اذ', 'قال', 'يموسى', 'لن', 'آمن', 'ل', 'حتى', 'رأى', 'الله', 'جهر', 'فاخذتكم', 'صعق', 'انتم', 'نظر']"
